title,price,category,rating,availability,description_len,has_desc,n_reviews,title_len,url
Glory over Everything: Beyond The Kitchen House,45.84,Historical Fiction,3,14,2224,1,0,47,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
"Love, Lies and Spies",20.55,Historical Fiction,2,12,1109,1,0,20,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html
A Paris Apartment,39.01,Historical Fiction,4,12,2491,1,0,17,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
Lilac Girls,17.28,Historical Fiction,2,11,1681,1,0,11,https://books.toscrape.com/catalogue/lilac-girls_597/index.html
The Constant Princess (The Tudor Court #1),16.62,Historical Fiction,3,7,1634,1,0,42,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html
The Invention of Wings,37.34,Historical Fiction,1,6,2277,1,0,22,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html
World Without End (The Pillars of the Earth #2),32.97,Historical Fiction,4,5,1303,1,0,47,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html
The Passion of Dolssa,28.32,Historical Fiction,5,4,1129,1,0,21,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html
Girl With a Pearl Earring,26.77,Historical Fiction,1,4,1318,1,0,25,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html
Voyager (Outlander #3),21.07,Historical Fiction,5,3,1337,1,0,22,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
The Red Tent,35.66,Historical Fiction,5,3,1205,1,0,12,https://books.toscrape.com/catalogue/the-red-tent_273/index.html
The Last Painting of Sara de Vos,55.55,Historical Fiction,2,3,1803,1,0,32,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html
The Guernsey Literary and Potato Peel Pie Society,49.53,Historical Fiction,1,3,1786,1,0,49,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html
Girl in the Blue Coat,46.83,Historical Fiction,2,3,1460,1,0,21,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html
Between Shades of Gray,20.79,Historical Fiction,5,3,1409,1,0,22,https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html
While You Were Mine,41.32,Historical Fiction,5,1,1179,1,0,19,https://books.toscrape.com/catalogue/while-you-were-mine_97/index.html
The Secret Healer,34.56,Historical Fiction,3,1,1408,1,0,17,https://books.toscrape.com/catalogue/the-secret-healer_80/index.html
Starlark,25.83,Historical Fiction,3,1,1629,1,0,8,https://books.toscrape.com/catalogue/starlark_56/index.html
Lost Among the Living,27.7,Historical Fiction,4,1,1340,1,0,21,https://books.toscrape.com/catalogue/lost-among-the-living_31/index.html
A Spy's Devotion (The Regency Spies of London #1),16.97,Historical Fiction,5,1,1403,1,0,49,https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Sequential Art,5,19,949,1,0,55,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,Sequential Art,1,16,807,1,0,55,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
This One Summer,19.49,Sequential Art,4,16,1154,1,0,15,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
The Nameless City (The Nameless City #1),38.16,Sequential Art,4,16,1041,1,0,40,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Sequential Art,2,16,308,1,0,45,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Sequential Art,3,16,274,1,0,67,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Sequential Art,5,16,1559,1,0,81,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Pop Gun War, Volume 1: Gift",18.97,Sequential Art,1,16,2213,1,0,27,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
Patience,10.16,Sequential Art,3,16,856,1,0,8,https://books.toscrape.com/catalogue/patience_916/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Sequential Art,4,16,301,1,0,54,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,Sequential Art,1,16,1007,1,0,70,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Sequential Art,2,16,1122,1,0,61,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Sequential Art,3,16,880,1,0,62,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Sequential Art,2,16,281,1,0,55,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Sequential Art,2,16,1690,1,0,81,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
I am a Hero Omnibus Volume 1,54.63,Sequential Art,3,16,1118,1,0,28,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Sequential Art,2,16,929,1,0,36,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
Danganronpa Volume 1,51.99,Sequential Art,4,16,1162,1,0,20,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Sequential Art,4,16,2489,1,0,51,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
Camp Midnight,17.08,Sequential Art,4,16,913,1,0,13,https://books.toscrape.com/catalogue/camp-midnight_886/index.html
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Sequential Art,2,16,1032,1,0,79,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
The Shadow Hero (The Shadow Hero),33.14,Sequential Art,1,15,1186,1,0,33,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Sequential Art,4,15,1092,1,0,44,https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html
Batman: The Long Halloween (Batman),36.5,Sequential Art,2,15,1259,1,0,35,https://books.toscrape.com/catalogue/batman-the-long-halloween-batman_793/index.html
Batman: The Dark Knight Returns (Batman),15.38,Sequential Art,5,15,1767,1,0,40,https://books.toscrape.com/catalogue/batman-the-dark-knight-returns-batman_792/index.html
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Sequential Art,4,14,938,1,0,64,https://books.toscrape.com/catalogue/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,Sequential Art,1,14,838,1,0,62,https://books.toscrape.com/catalogue/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html
Through the Woods,25.38,Sequential Art,2,14,318,1,0,17,https://books.toscrape.com/catalogue/through-the-woods_772/index.html
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,Sequential Art,5,14,1450,1,0,61,https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,Sequential Art,4,14,1162,1,0,50,https://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html
Robin War,47.82,Sequential Art,3,14,251,1,0,9,https://books.toscrape.com/catalogue/robin-war_730/index.html
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,Sequential Art,2,14,806,1,0,65,https://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,Sequential Art,2,14,988,1,0,82,https://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,Sequential Art,2,14,1039,1,0,60,https://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html
El Deafo,57.62,Sequential Art,5,14,1408,1,0,8,https://books.toscrape.com/catalogue/el-deafo_691/index.html
Batman: Europa,32.01,Sequential Art,2,14,849,1,0,14,https://books.toscrape.com/catalogue/batman-europa_668/index.html
Art Ops Vol. 1,48.8,Sequential Art,3,14,2009,1,0,14,https://books.toscrape.com/catalogue/art-ops-vol-1_664/index.html
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,Sequential Art,2,14,921,1,0,53,https://books.toscrape.com/catalogue/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,Sequential Art,4,9,319,1,0,40,https://books.toscrape.com/catalogue/fruits-basket-vol-9-fruits-basket-9_563/index.html
Roller Girl,14.1,Sequential Art,5,8,927,1,0,11,https://books.toscrape.com/catalogue/roller-girl_540/index.html
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,Sequential Art,1,7,791,1,0,40,https://books.toscrape.com/catalogue/fruits-basket-vol-7-fruits-basket-7_468/index.html
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,Sequential Art,4,6,310,1,0,40,https://books.toscrape.com/catalogue/fruits-basket-vol-6-fruits-basket-6_427/index.html
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,Sequential Art,3,6,1427,1,0,49,https://books.toscrape.com/catalogue/death-note-vol-6-give-and-take-death-note-6_425/index.html
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,Sequential Art,1,5,268,1,0,40,https://books.toscrape.com/catalogue/fruits-basket-vol-5-fruits-basket-5_376/index.html
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,Sequential Art,1,5,1477,1,0,44,https://books.toscrape.com/catalogue/death-note-vol-5-whiteout-death-note-5_368/index.html
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,Sequential Art,2,4,771,1,0,80,https://books.toscrape.com/catalogue/the-demon-prince-of-momochi-house-vol-4-the-demon-prince-of-momochi-house-4_344/index.html
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,Sequential Art,4,4,782,1,0,40,https://books.toscrape.com/catalogue/fruits-basket-vol-4-fruits-basket-4_321/index.html
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,Sequential Art,3,3,787,1,0,77,https://books.toscrape.com/catalogue/the-wicked-the-divine-vol-3-commercial-suicide-the-wicked-the-divine_287/index.html
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,Sequential Art,5,3,854,1,0,61,https://books.toscrape.com/catalogue/the-sandman-vol-3-dream-country-the-sandman-volumes-3_279/index.html
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,Sequential Art,5,3,813,1,0,45,https://books.toscrape.com/catalogue/saga-volume-3-saga-collected-editions-3_216/index.html
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,Sequential Art,3,3,1294,1,0,57,https://books.toscrape.com/catalogue/prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/index.html
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,Sequential Art,1,3,1831,1,0,54,https://books.toscrape.com/catalogue/persepolis-the-story-of-a-childhood-persepolis-1-2_206/index.html
Original Fake,31.45,Sequential Art,3,3,1565,1,0,13,https://books.toscrape.com/catalogue/original-fake_203/index.html
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,Sequential Art,1,3,814,1,0,36,https://books.toscrape.com/catalogue/grayson-vol-3-nemesis-grayson-3_164/index.html
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,Sequential Art,2,3,839,1,0,40,https://books.toscrape.com/catalogue/fruits-basket-vol-3-fruits-basket-3_159/index.html
"Black Butler, Vol. 1 (Black Butler #1)",49.31,Sequential Art,1,3,374,1,0,38,https://books.toscrape.com/catalogue/black-butler-vol-1-black-butler-1_130/index.html
Awkward,38.02,Sequential Art,2,3,1290,1,0,7,https://books.toscrape.com/catalogue/awkward_124/index.html
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,Sequential Art,1,2,1173,1,0,64,https://books.toscrape.com/catalogue/the-sandman-vol-2-the-dolls-house-the-sandman-volumes-2_110/index.html
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,Sequential Art,3,2,915,1,0,45,https://books.toscrape.com/catalogue/saga-volume-2-saga-collected-editions-2_107/index.html
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,Sequential Art,5,2,822,1,0,40,https://books.toscrape.com/catalogue/fruits-basket-vol-2-fruits-basket-2_100/index.html
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,Sequential Art,4,1,1048,1,0,54,https://books.toscrape.com/catalogue/y-the-last-man-vol-1-unmanned-y-the-last-man-1_98/index.html
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,Sequential Art,2,1,812,1,0,72,https://books.toscrape.com/catalogue/the-wicked-the-divine-vol-1-the-faust-act-the-wicked-the-divine_86/index.html
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,Sequential Art,3,1,2288,1,0,70,https://books.toscrape.com/catalogue/the-sandman-vol-1-preludes-and-nocturnes-the-sandman-volumes-1_79/index.html
The Complete Maus (Maus #1-2),10.64,Sequential Art,3,1,896,1,0,29,https://books.toscrape.com/catalogue/the-complete-maus-maus-1-2_62/index.html
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,Sequential Art,3,1,335,1,0,35,https://books.toscrape.com/catalogue/skip-beat-vol-01-skip-beat-1_55/index.html
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,Sequential Art,1,1,802,1,0,45,https://books.toscrape.com/catalogue/saga-volume-1-saga-collected-editions-1_48/index.html
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,Sequential Art,5,1,913,1,0,73,https://books.toscrape.com/catalogue/rat-queens-vol-1-sass-sorcery-rat-queens-collected-editions-1-5_46/index.html
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,Sequential Art,4,1,293,1,0,38,https://books.toscrape.com/catalogue/paper-girls-vol-1-paper-girls-1-5_44/index.html
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,Sequential Art,3,1,375,1,0,68,https://books.toscrape.com/catalogue/ouran-high-school-host-club-vol-1-ouran-high-school-host-club-1_43/index.html
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,Sequential Art,4,1,1213,1,0,57,https://books.toscrape.com/catalogue/ms-marvel-vol-1-no-normal-ms-marvel-2014-2015-1_34/index.html
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,Sequential Art,3,1,1080,1,0,49,https://books.toscrape.com/catalogue/hawkeye-vol-1-my-life-as-a-weapon-hawkeye-1_24/index.html
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,Sequential Art,4,1,795,1,0,36,https://books.toscrape.com/catalogue/giant-days-vol-1-giant-days-1-4_22/index.html
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,Sequential Art,5,1,332,1,0,40,https://books.toscrape.com/catalogue/fruits-basket-vol-1-fruits-basket-1_21/index.html
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,Sequential Art,5,1,959,1,0,59,https://books.toscrape.com/catalogue/bleach-vol-1-strawberry-and-the-soul-reapers-bleach-1_7/index.html
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,Sequential Art,4,1,931,1,0,48,https://books.toscrape.com/catalogue/ajin-demi-human-volume-1-ajin-demi-human-1_4/index.html
The Secret Garden,15.08,Classics,4,5,962,1,0,17,https://books.toscrape.com/catalogue/the-secret-garden_413/index.html
The Metamorphosis,28.58,Classics,1,5,1529,1,0,17,https://books.toscrape.com/catalogue/the-metamorphosis_409/index.html
The Pilgrim's Progress,50.26,Classics,2,4,1227,1,0,22,https://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,Classics,2,4,816,1,0,50,https://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html
Little Women (Little Women #1),28.07,Classics,4,4,283,1,0,30,https://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html
Gone with the Wind,32.49,Classics,3,4,1153,1,0,18,https://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html
Candide,58.63,Classics,3,4,928,1,0,7,https://books.toscrape.com/catalogue/candide_316/index.html
Animal Farm,57.22,Classics,3,4,350,1,0,11,https://books.toscrape.com/catalogue/animal-farm_313/index.html
Wuthering Heights,17.73,Classics,3,3,1148,1,0,17,https://books.toscrape.com/catalogue/wuthering-heights_307/index.html
The Picture of Dorian Gray,29.7,Classics,2,3,1261,1,0,26,https://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,Classics,4,3,200,1,0,77,https://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html
Beowulf,38.35,Classics,2,3,1198,1,0,7,https://books.toscrape.com/catalogue/beowulf_126/index.html
And Then There Were None,35.01,Classics,2,3,869,1,0,24,https://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html
The Story of Hong Gildong,43.19,Classics,4,1,1362,1,0,25,https://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html
The Little Prince,45.42,Classics,2,1,787,1,0,17,https://books.toscrape.com/catalogue/the-little-prince_72/index.html
Sense and Sensibility,37.46,Classics,1,1,1284,1,0,21,https://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html
Of Mice and Men,47.11,Classics,2,1,1158,1,0,15,https://books.toscrape.com/catalogue/of-mice-and-men_37/index.html
Emma,32.93,Classics,2,1,1159,1,0,4,https://books.toscrape.com/catalogue/emma_17/index.html
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,Classics,1,1,0,0,0,57,https://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html
Sophie's World,15.94,Philosophy,5,18,1330,1,0,14,https://books.toscrape.com/catalogue/sophies-world_966/index.html
